,Total Point,State,Pre_T_Rating
0,6.0,ON,1794
1,6.0,MI,1553
2,6.0,MI,1384
3,5.5,MI,1716
4,5.5,MI,1655
5,5.0,OH,1686
6,5.0,MI,1649
7,5.0,MI,1641
8,5.0,ON,1411
9,5.0,MI,1365
10,4.5,MI,1712
11,4.5,MI,1663
12,4.5,MI,1666
13,4.5,MI,1610
14,4.5,MI,1220
15,4.0,MI,1604
16,4.0,MI,1629
17,4.0,MI,1600
18,4.0,MI,1564
19,4.0,MI,1595
20,4.0,ON,1563
21,4.0,MI,1555
22,4.0,ON,1363
23,4.0,MI,1229
24,3.5,MI,1745
25,3.5,ON,1579
26,3.5,MI,1552
27,3.5,MI,1507
28,3.5,MI,1602
29,3.5,ON,1522
30,3.5,MI,1494
31,3.5,ON,1441
32,3.5,MI,1449
33,3.5,MI,1399
34,3.5,MI,1438
35,3.5,MI,1355
36,3.5,MI,980
37,3.0,MI,1423
38,3.0,MI,1436
39,3.0,MI,1348
40,3.0,MI,1403
41,3.0,MI,1332
42,3.0,MI,1283
43,3.0,MI,1199
44,3.0,MI,1242
45,3.0,MI,377
46,2.5,MI,1362
47,2.5,MI,1382
48,2.5,MI,1291
49,2.5,MI,1056
50,2.5,MI,1011
51,2.5,MI,935
52,2.0,MI,1393
53,2.0,MI,1270
54,2.0,MI,1186
55,2.0,MI,1153
56,2.0,MI,1092
57,2.0,MI,917
58,2.0,MI,853
59,1.5,MI,967
60,1.5,ON,955
61,1.0,MI,1530
62,1.0,MI,1175
63,1.0,MI,1163
